date1,house,street,str_type,suburb,pcode,alphatree,species,height,dbh,treearea,lat,lon
28/07/2010,2-4,Pine,Av,PARK ORCHARDS,3114,P,Pinus radiata,15+m,500 - 1000mm,Area 6,-37.77979866800,145.22110411100
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,A,Agonis flexuosa,2-5m,250 - 500mm,Area 6,-37.77983558100,145.22118566400
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,A,Allocasuarina torulosa,5-10m,250 - 500mm,Area 6,-37.77987356900,145.22124847400
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,A,Allocasuarina torulosa,2-5m,250 - 500mm,Area 6,-37.77994074100,145.22142382600
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,P,Pinus radiata,15+m,500 - 1000mm,Area 6,-37.77994071100,145.22146353400
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,P,Pinus radiata,15+m,500 - 1000mm,Area 6,-37.77995746700,145.22151214400
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,P,Pinus radiata,15+m,500 - 1000mm,Area 6,-37.77999052800,145.22158382800
28/07/2010,6-8,Pine,Av,PARK ORCHARDS,3114,P,Pinus radiata,15+m,500 - 1000mm,Area 6,-37.78001310800,145.22165167200
28/07/2010,661-663,Park,Rd,PARK ORCHARDS,3114,A,Allocasuarina torulosa,0-2m,0 - 100mm,Area 6,-37.78005709500,145.22174467300
28/07/2010,665-667,Park,Rd,PARK ORCHARDS,3114,A,Allocasuarina torulosa,0-2m,0 - 100mm,Area 6,-37.78017327100,145.22201488200
28/07/2010,665-667,Park,Rd,PARK ORCHARDS,3114,A,Allocasuarina torulosa,5-10m,250 - 500mm,Area 6,-37.78027371400,145.22228617000
21/05/2008,1-3,Websters,Rd,TEMPLESTOWE,3106,V,Vacant Planting,0-2m,0 - 100mm,Area 5,-37.74946970400,145.16898059500
21/05/2008,1-3,Websters,Rd,TEMPLESTOWE,3106,V,Vacant Planting,0-2m,0 - 100mm,Area 5,-37.74993917600,145.16889498100
21/05/2008,1-3,Websters,Rd,TEMPLESTOWE,3106,E,Eucalyptus viminalis,15+m,500 - 1000mm,Area 5,-37.75010300200,145.16866227800
12/06/2008,724,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78718936700,145.13339996100
12/06/2008,722,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78724196500,145.13301251800
12/06/2008,684,Doncaster,Rd,DONCASTER,3108,A,Angophora costata,15+m,1000mm+,Area 4,-37.78758069400,145.13083419900
12/06/2008,674-680,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78755395100,145.13015064000
12/06/2008,664,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78751671900,145.12965309500
12/06/2008,660,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78746254800,145.12861991800
12/06/2008,654,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78743060600,145.12796694500
12/06/2008,642-648,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78740981400,145.12729823700
12/06/2008,651,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78719359100,145.12706440100
12/06/2008,659-667,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78721006500,145.12814497700
12/06/2008,659-667,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78723420700,145.12853049100
12/06/2008,699,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78706168300,145.13282931200
12/06/2008,699,Doncaster,Rd,DONCASTER,3108,Q,Quercus robur,2-5m,0 - 100mm,Area 4,-37.78700547900,145.13293566900
12/06/2008,759,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78684232600,145.13424702300
12/06/2008,761,Doncaster,Rd,DONCASTER,3108,V,Vacant Planting,0-2m,0 - 100mm,Area 4,-37.78680270000,145.13443606500
